title,authors,first_publish_year,language,subjects,subject,edition_count
Tender is the Night,F. Scott Fitzgerald,1933,cze,,usa,312
Du contrat social,Jean-Jacques Rousseau,1762,eng,,usa,216
Bible,Bible,1200,per,,usa,3174
Management information systems,"Kenneth C. Laudon, Jane P. Laudon, Jane Price Laudon, Jane Laudon",1945,eng,,usa,95
The Client,John Grisham,1993,eng,,usa,80
Airframe,Michael Crichton,1996,eng,,usa,73
The Edible Woman,Margaret Atwood,1969,eng,,usa,67
American Government,"James Q. Wilson, John J. DiIulio, Jr",1980,eng,,usa,64
"The Federalist, or, The New Constitution","Alexander Hamilton, James Madison, John Jay",1788,eng,,usa,349
From slavery to freedom,"John Hope Franklin, Alfred A. Moss Jr., Evelyn Brooks Higginbotham",1947,eng,,usa,49
Microeconomics,"Robert S. Pindyck, Daniel L. Rubinfeld, Robert Pindyck, Daniel Rubinfeld, Daniel L. Rubinfield",1988,eng,,usa,35
